date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:58	16812/16812	---M--	200	added ('OK')	application/font-woff	etag:%2261ebb2f2-41ac%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.woff	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.woff	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:48:58	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%2261ebb2f2-852c%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.ttf	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.ttf	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:48:59	144343/144343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2f2-233d7%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.svg	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-regular-400.svg	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:48:59	186512/186512	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2f2-2d890%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.eot	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.eot	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:00	186512/186512	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2f2-2d890%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.eot?	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:00	74348/74348	---M--	200	added ('OK')	application/font-woff2	etag:%2261ebb2f2-1226c%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.woff2	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.woff2	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:00	96244/96244	---M--	200	added ('OK')	application/font-woff	etag:%2261ebb2f2-177f4%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.woff	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.woff	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:00	186228/186228	---M--	200	added ('OK')	application/octet-stream	etag:%2261ebb2f2-2d774%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.ttf	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:01	816038/816038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2f2-c73a6%22	https://demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.svg	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/webfonts/fa-solid-900.svg	(from https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css)
14:49:01	537868/537868	---M--	200	added ('OK')	application/font-woff2	etag:%2261ebb2f2-8350c%22	https://demo.themefisher.com/promodise/plugins/icofont/fonts/icofont.woff2	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/icofont/fonts/icofont.woff2	(from https://demo.themefisher.com/promodise/plugins/icofont/icofont.css)
